question,answer,category
What rashes are associated with palmar lesions?,"Syphilis (secondary), RMSF, Scabies, Erythema Multiforme",Dermatology
What rashes are associated with + Nikolsky sign?,"SJS, TEN, SSSS, Pemphigus Vulgaris",Dermatology
What rashes are associated with vesicles/bullae?,"Bullous pemphigoid, Pemphigus Vulgaris, Necrotizing fasciitis, Disseminated Gonorrhea",Dermatology
What rashes are associated with Petechiae/Purpura?,"RMSF, Meningococcemia, DIC, Endocarditis",Dermatology
What rashes are associated with target lesions?,"Lyme disease, Erythema Multiforme, SJS",Dermatology
"SSx, Dx and Tx of HenochSchonlein Purpura (HSP)","Patient will be 4-12-years-old. SSx: recent URI, abdominal pain, arthralgia, and a rash (buttocks +lower extremities; exam: maculopapular rash (palpable purpura), non-pruritic; Most commonly caused by IgA mediated vasculitis; Tx: supportive care. Complications: nephropathy, intussusception",Dermatology
Dx and Tx of Epidermoid cyst,"Also known as sebaceous cyst, skin-colored lesion, often with central punctaet area w/ white or yellowish waxy material. Can treat with steroid, I&D and excision. Follow up with Derm.",Dermatology
Endocrine & Metabolic Bizz,"Review expected bicarb and pCO2 levels for Metabolic Acidosis, Metabolic Alkalosis, Respiratory Acidosis, Respiratory Alkalosis",Endocrine
"M.Acid: ↓ HCO3, ↓ pCO2 (hypervent); M.Alk: ↑ HCO3, ↑ pCO2 (hypovent); R.Acid: ↑ pCO2, ↑ HCO3 (↑ renal reabsorption); R.Alk: ↓ pCO2, ↓ HCO3 (↓ renal reabsorption). Normal values: pH 7.4 / HCO3 24 / pCO2 40 / AG 12 ±",What is the appropriate metabolic compenstion for Respiratory Acidosis and Alkalosis?,Endocrine
"(Delayed metabolic compensation) Acid/Alk: '1325': Acute/Chronic; R.Acid: for every ↑ of pCO2 by 10, HCO3 should ↑ by 1 (Acute) and 3 (Chronic); R.Alk: for every ↓ in pCO2 by 10, HCO3 should ↓ by 2 (Acute) and 5 (Chronic); If NOT true then a mixed disorder is present",What is the appropriate respiratory compensation for Metabolic Acidosis and Alkalosis,Endocrine
"(Immediate respiratory compensation) Acid: Rule of 15s; Alk: 007; M.Acid- 1.5 x HCO3 + 15 (±2) = PCO2 & last two digits of pH (±2); M.Alk: for every ↑ of HCO3 by 1, pCO2 should ↑ by 0.7; If NOT true then a mixed disorder is present",What is the differential for an anion-gap metabolic acidosis?,Endocrine
"A CAT MUDPILE: Aspirin, Carbon monoxide, Cyanide, Caffeine, Acetaminophen, Theophylline, Methanol, Metformin, Uremia, DKA (AKA), Propylene Glycol, Isoniazid, Ibuprofen, Iron, Lactic Acidosis, Ethylene glycol",What are the most common causes of non-anion-gap metabolic acidosis?,Endocrine
Diarrhea & spironolactone,What are the most common causes of metabolic alkalosis?,Endocrine
"Vomiting, diuretics",What is the primary difference between Type I and Type II diabetes?,Endocrine
"I: insulin deficiency (auto-immune), II: insulin resistance",What are the criteria for diagnosis of diabetes?,Endocrine
"Fasting blood sugar >126 (2 separate occasions), Random glucose >200 with ssx of DM, Glucose >200 after OGTT, HbA1c > 6.5%",Suspected DKA and coffeeground emesis,Endocrine
"Erosive esophagitis & hemorrhagic gastritis in up to 9% of DKA, rarely need treatment/endoscopy",What are the keys to diagnosis of DKA?,Endocrine
"SSx: Polyuria, polydipsia, abd pain, vomiting, acetone (fruity) smell, ± unstable vitals/shock, AMS, possible coffee-ground emesis; Labs: glucose > 250, pH < 7.3 (VBG ok), HCO3 <18, AG >10, +Serum/urine ketones; Note: workup should include eval for cause of DKA (infection rule out) and EKG due to lyte abnormalities",What lab value is critical to know prior to giving insulin for DKA?,Endocrine
"Serum potassium: patients have an overall deficiency of K (initial labs may show high K), if initial low K and pt given insulin they will become too hypokalemia and code",What is the appropriate approach to fluid resuscitation in DKA?,Endocrine
"Rx: 2L NS IVF bolus (kids: 10-20cc/kg), when glucose < 250, start glucose-containing fluids (D51⁄2 NS)",Endocrine & Metabolic,Endocrine
What is the appropriate approach to electrolyte repletion in DKA?,"Key = POTASSIUM! Know level before insulin. K<3.3: HOLD Insulin & give K, K 3.3-5.2: can start insulin but give K in each liter of IVF; K>5.2: Start Insulin & NS, no supplemental K needed; BICARB: controversial, only Rx if severe DKA + intubated; MAG: replete with K; SODIUM: falsely low, abnormal Na will typically correct with fluids.",Endocrine
What is the appropriate approach to insulin administration in DKA?,"Eval K level first, then give 0.1 U/kg/hr gtt (double if glucose not down by 50 after first hour); initial bolus not necessary; can also follow SQ regimen; **Transition to regular insulin SQ when gap closed and pH >7.3, dose 5U per 50 over 150 (max 20U), stop insulin gtt 1hr after pt given SQ insulin",Endocrine
How do you correct sodium for hyperglycemia (pseudo hyponatremia)?,Add 1.6 to Na for each glucose value of 100 over 100 mg/dL,Endocrine
Treatment for DKA followed by new AMS or seizure,"Cerebral edema, more common in kids and new onset type I, Rx: mannitol (1-2g/kg)",Endocrine
"What is the mechanism of action and possible adverse effect of Sulfonylureas (Glipizide, glyburide)","Stimulates insulin release from the pancreas, can cause prolonged hypoglycemia in overdose",Endocrine
What is the mechanism of action and possible adverse effect of Biguanides (Metformin),"Suppress hepatic gluconeogenesis (NO hypoglycemia), ± GI upset, lactic acidosis",Endocrine
"What is the mechanism of action and possible adverse effect of Thiazolidenediones (TZDsActos, Avandia)",Increase sensitivity to insulin (muscle & fat); ± hepatitis & edema; NO hypoglycemia,Endocrine
What distinguishes Hyperosmolar Coma from DKA?,"Occurs in Type II DM. SSx: more likely to have CNS ssx (stupor/coma). Labs: glucose > 600, pH >7.3, HCO3 >18, ± urine ketones, AG <12, severe dehydration (8-12L deficit). Tx: IVF, insulin",Endocrine
What lab test can help identify facticious hypoglycemia (exogenous administration)?,"C-peptide, value will be low 2/2 suppression of endogenous insulin",Endocrine
What is the rule to calculate MIVF rate?,"4cc/kg for first 10kg, 2cc/kg for second 10kg, 1cc for each additional kg to max of 120cc/hr total",Endocrine
"What are typical causes and appropriate treatment for Hypervolemic, Euvolemic and Hypovolemic Hyponatremia?","HyperV: CHF, ESRD, cirrhosis; Tx: water restrict + diuretics; EuV: SIADH, psychogenic polydipsia; Tx: water restrict; HypoV: vomiting, diarrhea, third spacing, diuretics; Tx: NS vs 1/2 NS",Endocrine
What is the approach to correction of hyponatremia?,"Overall goal correction rate 0.3mEq/hr or 8-10 mEq/day. **Note: rapid correction risks central pontine myelinolysis/demyelination.** Tx: asymptomatic & Na >120 = no emergent treatment; Na <120 & +neuro ssx, give 3% NaCl (100cc over 10m, additional 100cc over 50m)",Endocrine
How and when does central pontine myelinolysis present?,how: AMS (lethergy and coma) w/ spastic quadriplegia after treatment for hyponatermia. When: 1-6 days after treatment for hyponatremia. Pts with chronic hyponatremia (e.g. alcoholics) are most at risk for this.,Endocrine
What is the approach to treatment of hypernatremia?,"Overall goal correction rate 1-2 mEq/hr. **Note: rapid correction risks cerebral edema.**. Calculate Free Water Deficit (0.6 x wt(kg) x (Na/140 -1)) and replace with NS until euvolemic, then D5W vs D5 1/2 NS. Give 50% over 12h, remainder over the next 24hr",Endocrine
What is the most common cause of hyperkalemia?,"Lab error, resend lab",Endocrine
What EKG changes are seen in hyperkalemia?,"Peaked TW, PR long, loss of P wave, wide QRS, sine wave, VT/VF",Endocrine
What is the general approach to treatment of hyperkalemia?,"Cardioprotection (Calcium Gluconate or Chloride ONLY if ECG changes). K shifters: Insulin/glucose, bicarb if acidotic, albuterol). K excretion: lasix, kayexylate, HD",Endocrine
Dx and Tx of hypokalemia?,"Most common electrolyte disturbance. 2/2 ↑ losses (GI loss or diuretics), intracellular shift. SSx: cramps, weakness, arrhythmias, cardiac arrhythmias, rhabdo; Tx: K repletion 100 mEq K for every 0.3 below normal, give 10-20 mEq/hr; **Note: supplement with Magnesium (↑ absorption)",Endocrine
What is the most specific EKG change associated with hypokalemia?,"Flattened or inverted T wave, U waves = specific, prolonged QT, STD",Endocrine
"SSx, Dx and Tx of Hypercalcemia","Ca > 10.5. Causes: hyperparathyroid (overall most common cause), malignancy (most common inpatient cause); SSx: BONES (bone pain), STONES (renal, biliary), GROANS (abd pain, n/v), THRONES (polyuria) and PSYCHIATRIC OVERTONES (depression, anxiety, insomnia); EKG: short QT; Tx: immediate if Ca > 14 (12-14 per ssx) with IVF (first step), Calcitonin (↑ excretion, inhibits osteoclasts), Bisphosphonates (inhibits osteoclasts, requires days to work), Steroids (↓ GI absorption), Lasix (if volume overload)",Endocrine
"SSx, Dx and Tx of Hypocalcemia","Ca < 8.5. Causes: 2/2 hypoparathyroid (thyroidectomy = most comon cause), Vit D deficiency, high phos, low or high Mg; SSx: paresthesias, tetany, Chvostek's sign, Trousseau's sign, seizure. EKG: QT prolongation; Tx: IV calcium (if <7.5 and severe ssx), give Vit D and Mg prn",Endocrine
"SSx, Dx and Tx of Hypermagnesemia","SSx: weakness, loss of reflexes, dysrhythmias, respiratory depression; Tx: calcium gluconate",Endocrine
"Alcoholic with AMS, ataxia, nystagmus","Wernicke's Encephalopathy 2/2 Thiamine (B1) deficiency; Tx: Thiamine 500 mg IV, improvement in hours",Endocrine
Alcoholic with short term memory loss,"Korsakoff's Psychosis 2/2 Thiamine deficiency, irreversible",Endocrine
"Poor nutrition and high output cardiac failure (dyspnea, peripheral edema)","""Wet"" Beriberi 2/2 chronic thiamine deficiency; Tx: Thiamine 100mg IV",Endocrine
"Diarrhea, Dermatitis, Dementia",Pellagra (Niacin (B3) deficiency),Endocrine
Crohn's patient with macrocytic anemia and paresthesias,"Cobalamin (B12) deficiency; high risk include Crohns, vegans, alcoholics, PPIs, pernicious anemia (antibody to intrinsic factor); causes megaloblastic anemia + neuro deficits, hypersegmented neutrophils",Endocrine
Alcoholic with macrocytic anemia,"Folic Acid deficiency. High risk: alcoholics, elderly, phenytoin; no neuro changes. Hypersegmented neutrophils seen as well.",Endocrine
Child with poor diet and bowed legs,"Rickets (Vitamin D deficiency )(Calcium absorption); Osteomalacia: adult equivalent, normal height",Endocrine
"Bad skin, bleeding gums and poor wound healing",Scurvy (Vitamin C deficiency) (collagen formation),Endocrine
What vitamins are toxic in overdose?,"Fat soluable ADEK; A: bear liver consumption, skin changes, pseudotomor cerebri, D: hypercalcemia, hypercalciuria, E: ↑ bleeding, K: hemolytic anemia, jaundice in newborns",Endocrine
What hormones are secreted from the pituitary?,"GOAT FLAP: Growth Hormone, Oxytocin, ADH, TSH, FSH, LH, ACTH, Prolactin; ALL but Oxy/ADH are from anterior pituitary",Endocrine
What are potential causes of hypopituitarism?,"Mass lesions, bleeds (pituitary apoplexy), hypothalamic disease, Sheehan's syndrome; Dx: check hormone levels",Endocrine
Low cortisol but normal aldosterone,"ACTH deficiency, causes 2° adrenal insufficiency",Endocrine
Inability to lactate post-partum,Sheehans syndrome causing prolactin deficiency (and panhypopit),Endocrine
"Visual field deficits, headache, hormonal abnormalities","Pituitary adenoma (macro if >1cm), Tx: transsphenoidal surgery",Endocrine
What is the treatment for prolactinoma?,Most common pituitary tumor. Tx: Bromocriptine (does not require surgery),Endocrine
"SSx, Dx and Tx of Cushing's syndrome","Cortisol excess. ACTH secreting pituitary adenoma or exogenous steroids (most common cause): SSx ('CUSHING'): Central obesity, 24 hrUrinary cortisol ↑ or ACTH level, Striae, HTN/Hyperglycemia/ Hirsutism, Iatrogenic, Neoplasms, Glucose intolerance. Rx: surgery (tumor)",Endocrine
Headache and tunnel vision in oversized person,"Growth Hormone secreting pituitary adenoma; Labs: ↑ GH & ILGF1. Children: gigantism, adults: acromegaly; Tx: surgery",Endocrine
What hormones are produced by the adrenal glands?,"Medulla: epinephrine & norepinephrine; Cortex: cortisol, androgens, aldosterone",Endocrine
Identify the key differences between primary and secondary adrenal insufficiency,"Deficiency of adrenal gland hormone production. 1° (adrenal disease): ↑ CRH & ACTH, Addisons dz (autoimmune) = most common cause, rapid withdrawal of steroids = most common cause in US, SSx: shock, hypoglycemia ,↓ mineralocorticoid = ↓ Na/gluc, ↑ K, HYPERpigmentation (buccal, 2/2 ↑ ACTH); 2° (pituitary dz): ↑ CRH, ↓ ACTH: ↓ Na/gluc, normal K, NO hyperpigmentation; Rx: IVF, glucocorticoids, vasopressors",Endocrine
Dx and Tx of adrenal crisis,"Lif threatening exacerbation of adrenal insufficiency. Hallmark = shock that is refractory to IVF / vasopressors. Cause: acute stressor (infxn, trauma, MI); SSx: shock, ↓ Na/gluc, ↑ K; Tx: glucocorticoids (Hydrocortisone v Dexamethasone)",Endocrine
Young child with mass in abdomen and HTN,Neuroblastoma (adrenal medulla tumor),Endocrine
"HTN, headache, palpitations, elevated catecholamines",Pheochromocytoma (adrenal medulla tumor),Endocrine
Review the hormone cascade and general function of thyroid hormones,"Thyroid Releasing Hormone (hypothalamus) → Thyroid Stimulating Hormone (Ant Pituitary) → T4 (inactive from thyroid gland) → converted to T3 (active form) in peripheral tissues, requires iodine for conversion; T3 functions in glucose absorption, muscle building, increases catecholamines, increases basal metabolic rate",Endocrine
What are common causes of hyperthyroidism,"Graves (most common cause, young person), Toxic nodular goiter (elderly), iodine-induced (amiodarone), Thyroiditis (amiodarone)",Endocrine
Review common SSx and Dx of hyperthyroid,"SSx: heat intolerance, palpitations, wt loss, tachycardia, anxiety, hyperreflexia, goiter, exophthalmos, pretibial edema; Labs: ↓ TSH level, ↑ T4/T3",Endocrine
Difference between thyrotoxicosis and thyroid storm,Thyrotoxicosis: any condition that results in excessive thyroid hormone concentration. Thyroid storm: life threatening decompensation of thyrotoxicosis (hyperthyroid + acute event),Endocrine
What is the appropriate treatment for Thyroid storm?,"1) Beta-blockers (Propanolol): ↓ sympathetic activity + blocks peripheral conversion of T4 → T3. 2) Antihormone Rx: PTU (if Pregnant) or Methimazole (blocks new hormone synthesis). 3) Potassium Iodine (AFTER above, blocks release of preformed hormone). 4) Steroids (blocks peripheral conversion of T4 → T3. 5) Treat precipitant & prevent decompensation (IVF, tylenol, cool prn) // The order is controversial. Some sources say give PTU before betablockers, but just know that PTU comes BEFORE iodine. That’s what they typically test.",Endocrine
What are common causes of hypothyroid,"Hashimoto's (MCC in US, autoimmune), meds, postpartum, Iodine deficiency (MCC worldwide)",Endocrine
"Review common symptoms, diagnosis and treatment of hypothyroid","SSx: fatigue, weight gain, cold intolerance, brittle hair and nails, constipation, periorbital edema, slow reflexes, edema; Labs: TSH (↑ with 1°, ↓ with 2°), ↓ free T3 / T4; Tx: synthroid.",Endocrine
Hypothyroidism + AMS,"Myxedema coma. Tx: Hydrocortisone, IV levothyroxine, Supportive care (warming)",Endocrine
Dx and Tx of Thyroid Ca,"5% thyroid nodules are cancerous, common CA overall but low mortality; Dx: FNA; Tx: thyroidectomy, radioactive iodine-131, thyroid supplementation",Endocrine
"SSx, Dx and Tx of Hyperparathyroidism","↑ PTH → ↑ Ca, ↓ Phos; SSx of hypercalcemia (see above); Rx: lower Ca with IVF (first line), calcitonin, bisphosphonates, steroids, surgery",Endocrine
"SSx, Dx and Tx of Hypoparathyroidism","↓ PTH → ↓ Ca, ↑ Phos; may be 2/2 thyroid surgery; SSx of hypoCa; Tx: replacement of Ca, Vit D",Endocrine
"Pt w/ hx of anorexia, presents with signs of heart failure after starting an outpatient refeeding program.","Refeeding syndrome. Occurs when refeeding begins before correcting electrolyte abnormalities. Dx: hypophosphatemia, hypokalemia, hypomagnesium, and ultimately volume overload and CHF. Tx: stop refeeding, correct electrolyte abnormalities.",Endocrine
Sulfonylurea overdose management,"Glucose supplementation, octreotide and observation admission for at least 24 hours.",Endocrine
Dx and Tx - Thyroid Storm,"Present with profound tachycardia, GI symptoms (nausa/vomiting/ diarrhea), CNS dysfunction (anxiety, confusion,apathy, coma), goiter and multiorgan dysfunction. Tx 1. Beta blockers 2. Thionamides (PTU, methimazole) 3. Iodine (only given 1 hour after methimazole) 4. Glucocorticoid (hydrocortisone) 5. Bile acid sequestrants (cholestyramine). Dispo to ICU.",Endocrine
Transfusion + Fever + Otherwise well,"Febrile non-hemolytic transfusion reaction. Most common reaction. Tx: tylenol, hold for 30min, likely restart",Hematology & Oncology
Transfusion + Urticaria + Otherwise well,Simple Allergic (Urticarial) Reaction. Tx: benadryl (premedicate in future) but don't need to stop transfusion,Hematology & Oncology
Transfusion + Shock + AKI,"Acute Hemolytic Transfusion Reaction. Often 2/2 ABO incompatability. SSx: fever, flank pain, shock; Labs: +Coombs; Tx: stop transfusion, IVF, diuretics, treat hyperK; Alternate Dx SEPSIS",Hematology & Oncology
Transfusion + Shock + Angioedema + Normal CXR,"Severe Allergic Reaction (Anaphylactic). Associated with hereditary IgA deficiency. Tx: stop transfusion, epinephrine, supportive care",Hematology & Oncology
Transfusion + Pulmonary Edema without other signs of heart failure,"Transfusion Related Acute Lung Injury (TRALI). ARDS after transfusion. SSx: HIGH fever, hypoxemia, hypotension. CXR: pulmonary infiltrates. Tx: stop transfusion, supportive, NO furosemide. Most common cause of death following blood transfusion.",Hematology & Oncology
Transfusion + Pulmonary Edema WITH other signs of heart failure,"Transfusion-Associated Circulatory Overload (TACO). Presentation similar to TRALI BUT….HTN, + sx of overload (e..g JVD, peripheral edema, high bnp), NO Fever; Rx: stop transfusion, supoprtive care, furosemide OK",Hematology & Oncology
What patients are higher risk for developing TRALI?,"Those with existing systemic inflammation (e.g. sepsis, trauma); linked to platelet and FFP transfusions",Hematology & Oncology
What is the most common infection transmitted by blood transfusion?,Hepatitis B,Hematology & Oncology
What is the underlying pathology in Hemophilia A and B,"Bleeding disorder due to lack of Factor 8 (A; 85%) or Factor 9 (B); both X-linked recessive and clinically indistinguishable; Dx: factor activity levels, normal PT BUT abnormal PTT",Hematology & Oncology
What are the common clinical features of Hemophilia A&B?,"Minor trauma causing large amounts of bleeding or hemarthrosis (hallmark sign); Children: ankle (most common joint); Adults: knee (most common) > elbow & ankle. CNS bleeding = leading cause of death in hemophilia. In CNS bleeding, factor replacement should precede diagnostic imaging.",Hematology & Oncology
"What is the appropriate dosage of factor replacement for a pt with Hemophilia A and Minor, Moderate and Severe Bleeding?","# Factor VIII units = wt (kg) x (desired % increase in factor activity) x 0.5. Minor (hemarthrosis): 20-30% factor desired (10-15U/kg of Factor VIII); Moderate (epistaxis, GI bleed): 50% factor desired (25U/kg of Factor VIII); Severe (CNS, RBP): 100% factor required (50U/kg of Factor VIII)",Hematology & Oncology
"What is the appropriate dosage of factor replacement for a pt with Hemophilia B and Minor, Moderate and Severe Bleeding?","# Factor units = wt (kg) x (desired % increase in factor acitivty). Minor (hemarthrosis): 20-30% factor required (25U/kg of Factor IX); Moderate (epistaxis, GI bleed): 50% factor required (50U/kg of Factor IX); Severe (CNS, RBP): 100% factor required (100U/kg of Factor IX)",Hematology & Oncology
What are alternative treatments if Factor is not available for bleeding hemophiliac patient?,"FFP (1cc FFP = 1U F8); Cryo (1 bag = 100U F8), DDAVP: 0.3 mcg/kg IV/SQ, 150 vs 300mcg nasally, increases F8 activity & vWF (carries F8); PCC",Hematology & Oncology
What does Von Willebrand Factor (vWF) do during hemostasis,1° hemostasis: attaches subendothelium to platelets (platelet aggregation); 2° hemostasis: protects F8 from degradation + delivers FV8 to site of injury (Factor VIII carrier protein),Hematology & Oncology
"SSx, Dx and Tx of Von Willebrand's Disese","Most common inherited bleeding disorder. SSx: easy bruising, skin bleeding, prolonged bleeding from mucosal surfaces (mouth, GI/GU); Labs: platelet count normal, normal PT/INR, prolonged bleeding time; Tx: DDAVP (first-line Rx, increases release of vWF), non-recombinant F8, Cryo NOT recommended (risk of viral transmission), no FFP (very little F8); ± Antifibrinolytics (Amicar, Tranexamic acid) which inhibit clot breakdown",Hematology & Oncology
"SSx, Dx and Tx of Polycythemia Vera","Clonal proliferation of RBCs/increased RBC mass. SSx: pruritis (aquagenic, plethora (facial), HTN, engorged retinal veins, thrombosis, erythromelalgia (burning of hands/feet), splenomegaly; Labs: all cell lines inc (esp. RBC). Tx serial phlebotomy, hydroxyurea, ASA",Hematology & Oncology
How does heparin work and how can it be reversed?,"Activates antithrombin III (inactivates F10 & thrombin), monitored with PTT; Reversal: Protamine Sulfate 1mg per 100U heparin, give slowly to avoid anaphylactoid reaction",Hematology & Oncology
How does LMWH work and how can it be reversed?,"Activates antithrombin III (inactivates ONLY F10), monitored with Xa level; 60% reversal with Protamine Sulfate (dose based on timing since last LMWH injection)",Hematology & Oncology
How does coumadin work and how can it be reversed?,"Inhibits vitamin K clotting factors (2, 7, 9, 10, proteins C & S), monitored with INR; Reversal: FFP/VitK (alternate PCC), dosage based on type of bleeding and INR",Hematology & Oncology
Review appropriate treatment to reverse coumadin based on severity of bleeding and INR,"INR < 5 & NO bleeding: lower or skip 1 dose; INR ≥5 but ≤10 & NO bleeding: skip next 1-2 doses, alt: skip 1 dose + Vit K 2.5-5mg PO; INR ≥10 & NO serious bleeding: hold med until INR is therapeutic + Vit K 5mg PO; ANY serious bleeding regardless of INR: hold med + Vit K 10mg IV + FFP or PCC; Life Threatening bleeding: hold med + Vit K 10mg IV + FFP or PCC or F7a",Hematology & Oncology
How does tPA work and how can it be reversed?,"Converts plasminogen to plasmin to breakdown clots; Nothing specific reversal agent. Can give large amount of everything (pRBCs, cryo, FFP, platelets, PCC, amicar, transexamic acid)",Hematology & Oncology
How does clopidogrel work and how can it be reversed?,"Blocks glycoprotein 2b/3a & prevents platelet activation (crosslinking with fibrin); nothing specifically reverses, can give platelets",Hematology & Oncology
How does Dabigatran (Pradaxa) work and how can it be reversed?,"Direct thrombin inhibitor, associated with GIB; Reversal agent: Idarucizumab, PCC/pRBCs/platelets, can also do HD",Hematology & Oncology
How does Rivaraxaban (Xarelto) work and how can it be reversed?,"Factor 10a inhibitor; no specific reversal, NOT dialyzable, can try thrombin activation with PCC, FFP, cryo",Hematology & Oncology
"Elderly with chronic back pain, lytic lesions on XR","Multiple myeloma (""CRAB""): hyperCalcemia, Renal failure, Anemia, Bone lesions/Back pain. Dx: abnormal SPEP (M-spike) & UPEP (Bence-Jones protein), peripheral smear: rouleaux formation, XR skull: ""punched out lesions."" Complications: hypogammaglobulinemia (leads to sepsis), hyperviscosity syndrome.",Hematology & Oncology
What symptoms suggest aggressive Lymphoma?,"""B symptoms"": fever, night sweats, lymphadenopathy",Hematology & Oncology
What distinguishes NonHodgkins from Hodgkins Lymphoma?,"NHL: more common, more widespread, less curable, leading cause of non-solid organ cancer-related death; HL: less common, related to viral infection; often presents with B symptoms and local spread, high cure rates",Hematology & Oncology
What are the two most common types of Non-Hodgkins Lymphoma and what distinguishes them?,"Follicular Lymphoma: indolent, slow growing, widespread at dx, no cure; Diffuse Large B cell Lymphoma: aggressive and symptomatic, rapid spread, 50% cured",Hematology & Oncology
Dx and Tx of Hodgkins lymphoma,"Bimodal age (teens/young adults, older adults). SSx: nontender cervical LAD, mediastinal mass on CXR, B symptoms; Labs: Reed‐ Sternberg cell (""owls eye""); Rx: chemo, radiation",Hematology & Oncology
What is the difference between Acute and Chronic Leukemia?,"Acute: rapid increase in blasts, most common in children; Chronic: mature abnormal WBCs, slow growing, most common in elderly",Hematology & Oncology
What is the difference between Lymphocytic and Myelogenous Leukemia?,"Lymphocytic: B & T cells; Myelogenous: RBCs, platelets & other WBCs",Hematology & Oncology
What is the difference between the presentation of ALL vs AML?,"BOTH: bony pain, big liver/spleen, anemia, bleeding, thrombocytopenia, infection and blasts in blood; ALL: most common childhood leukemia, +LAD; AML: more common in adults, no LAD, + gingival infiltration, Auer rods on blood smear",Hematology & Oncology
What is the difference between CLL and CML?,"BOTH: slow onset, elevated WBCs; CLL: most common adult leukemia, smudge cell, worst prognosis; CML: mostly adults, Philadelphia chromosome, high platelets, good prognosis",Hematology & Oncology
Dx and Tx of neutropenic fever,"1 oral temp ≥ 38.3°C or ≥ 38°C for ≥ 1 hour + ANC < 500. Leading cause of cancer death: infection. Obtain cultures (gram pos. most common). Tx: admission, empiric ABX",Hematology & Oncology
"SSx, Dx and Tx of Hyperviscosity syndrome","↑ serum viscosity that causes sludging & vascular stasis. Cause: Leukemias (AML or CML in blast crisis, WBC > 100k), multiple myeloma Waldenstrom macroglobulinemia (most common cause), polycythemia vera. SSx: mucosal bleeding (epistaxis), CNS sx (blurred vision, headache, AMS, stroke), end-organ ischemia; Labs: Rouleaux formation; Tx: phlebotomy (polycythemia) + IVF, plasmapheresis (high proteins), leukapheresis for blast transformations (induction chemotherapy = definitive tx)",Hematology & Oncology
Leukostasis syndrome,"Pretty specific to AML or CML in blast crisis, WBC >100k.",Hematology & Oncology
Dx and Tx of Tumor Lysis Syndrome,"Massive cytolysis + release of the intracellular contents, can occur with aggressive heme malignancies, large solid tumors/steroids after start of tx. Metabolic derangements: HIGH uric acid, phosphate, potassium & LOW calcium. Tx: aggressive IVF, correct lytes (hyperUA: Allopurinol, Rasburicase; hyperPhos: aluminum hydroxide, Renagel, HD; hyperK: calcium, insulin/glucose, biarb, kayexalate, HD; hypoCa: 2/2 high phos, treat phos first, only treat if symptomatic). Complications: cardiac arrhythmias, renal failure",Hematology & Oncology
Name the criteria for emergent HD in tumor lysis syndrome,"K ≥ 6, uric acid ≥ 10, Cr ≥ 10, phosphorus ≥ 10, volume overload, symptomatic hypoCa",Hematology & Oncology
"Thrombocytopenia, otherwise normal labs, well patient","Idiopathic Thrombocytopenic Purpura (ITP), results from rapid destruction of plts (fxn is normal). Types: children (2-6yo): acute, postinfectious; adults (20-50). SSx: petechiae (most common), pupura, gingival bleeding, epistaxis, menorrhagia; Dx: thrombocytopenia; Tx: observation (only if asymptomatic + plt <50k), supportive (kids), steroids (plt<50k) & IVIG, platelets (only for severe bleeding, VERY low plt), others: splenectomy (refractory cases)",Hematology & Oncology
"Thrombocytopenia, Hemolytic Anemia, Neuro symptoms","Thrombotic Thrombocytopenic Purpura (TTP): enzyme defect leads to unstable platelet plugs & hemolytic anemia. SSx (PENTAD): Fever, Anemia (MAHA, schistocytes; HIGH indirect bili, LDH, retic count; LOW haptoglobin), Thrombocytopenia (10-50k), Renal failure, Neuro sx. Dx: decreased ADAMTS-13 activity, schistocytes, normal: PT/INR, fibrinogen, dimer; Tx: supportive, plasmapheresis (Rx of choice); others: plasma exchange transfusion, steroids, DMARDs, IVIG, splenectomy; DO NOT GIVE PLATELETS",Hematology & Oncology
What types of patients are at higher risk for developing TTP?,"African-American females, Lupus, HIV, drugs (Clopidogrel, Quinine)",Hematology & Oncology
"Kid with thrombocytopenia, hemolytic anemia, renal failure","Hemolytic Uremic Syndrome (HUS)- often after diarrheal illness (O157:H7- shiga-like toxin), labs with eo hemolysis (schistocytes, high unconj bili, high LDH), supportive care, transfuse prbcs Hb <6, DO NOT GIVE PLATELETS OR ANTIBIOTICS",Hematology & Oncology
What defines Heparin Induced Thrombocytopenia (HIT) and what is the treatment?,"Antibodies that inactivate platelets usually at 5d if naive and only min/ hours if prior exposure. Dx (4 T's): Thrombocytopenia (platelets <150K or >50% drop after starting heparin [less often LMWH]), Time of onset (5-10d), THROMBOSIS (thrombosis, skin reactions, PE, CVA, MI), no oTher cause. Labs: +HIT antibody. Tx: STOP heparin or LMWH (dont cont while waiting for tests), can change to DTI (Argatroban, Dabigatran), NO platelets, change to direct thrombin inhibitor (DTI)",Hematology & Oncology
Dx and Tx of Disseminated Intravascular Coagulation (DIC),"Microvascular thrombosis AND consumptive coagulopathy causing multi organ failure. Related to underlying severe illness (sepsis = most common cause) & massive inflammation (trauma, pregnancy complications, cancers); Labs: LOW: platelets (most common) & fibrinogen; HIGH: PT/INR, fibrinogen degradation, dimer; Tx underlying cause, Tx (primarily bleeding): FFP, plts, RBCs; Rx (primarily thrombosis): heparin, LMWH",Hematology & Oncology
In what thrombocytopenic disorders are platelets contraindicated?,"TTP, HIT, HUS",Hematology & Oncology
What are the 3 main causes of microangiopathic hemolytic anemia?,"TTP, HUS, DIC",Hematology & Oncology
Diseases with thrombocytopenia,"TTP, HUS, DIC, SLE",Hematology & Oncology
